INFO 2026-06-21 16:32:42,818 worker_base 20408 7088 [PIPELINE_STAGE_ENTER] stage=AI correlation_id=0ec0c6b3-c503-4d01-be7c-2aec4a82d677 upload_session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant_id=2eda0ac6-6af2-493e-8792-bc973fe946b7 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 invoice_no=unknown
INFO 2026-06-21 16:32:42,819 ai_worker 20408 7088 [CONTEXT_TRACE_AI_RECEIVE] job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant_id=2eda0ac6-6af2-493e-8792-bc973fe946b7 trace_id=None page=2
INFO 2026-06-21 16:32:42,819 ai_worker 20408 7088 [SESSION_FORENSIC] stage='ai_worker_receive' record=1007711 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant=2eda0ac6-6af2-493e-8792-bc973fe946b7 page=2
INFO 2026-06-21 16:32:42,819 ai_worker 20408 7088 [AI_PAGE_START] record=1007711 page=2 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 correlation_id=0ec0c6b3-c503-4d01-be7c-2aec4a82d677 worker_role=AI
INFO 2026-06-21 16:32:42,822 ai_worker 20408 7088 [OCR_RETRY_CHAIN_START] record=1007711 page=2 max_passes=5
INFO 2026-06-21 16:32:42,824 ai_worker 20408 7088 [OCR_RECOVERY_PASS] pass=1/5 (original image) record=1007711 page=2
INFO 2026-06-21 16:32:42,955 ai_worker 20408 7088 [SLOT_FORCE_RELEASE] record=1007711 page=2 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
DEBUG 2026-06-21 16:32:42,955 redis_orchestrator 20408 7088 [SLOT_RELEASE_SKIP] record=1007711 page=2 — not in active slots
ERROR 2026-06-21 16:32:42,955 worker_base 20408 7088 [WORKER_STAGE_FAILURE] correlation_id=0ec0c6b3-c503-4d01-be7c-2aec4a82d677 upload_session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant_id=2eda0ac6-6af2-493e-8792-bc973fe946b7 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 invoice_no=unknown queue_name=ai worker_id=AI worker_pid=20408 hostname=LAPTOP-601O6S3T retry_count=1 visibility_timeout=1800 processing_duration_ms=196 dto_status=FAILED exception_class=ProviderSaturatedError exception_message='AI system is at capacity.'
INFO 2026-06-21 16:33:23,419 message_parser 20408 7088 [CONTEXT_TRACE_SCHEMA_VALIDATE] msg_id=afab6996-07c6-4a38-8701-e53dfcb41870 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 payload_keys=['type', 'prompt', 'image_data', 'mime_type', 'voucher_type', 'page_index', 'page_number', 'total_pages', 'wait_for_result', '_pdf_ocr_text', 'file_hash', 'item_id', 'record_id', 'job_id', 'upload_session_id', 'tenant_id', 'upload_type', 'correlation_id', 'is_rescan', 'rescan_history_id', 'user_id', 'metadata']
INFO 2026-06-21 16:33:23,419 message_parser 20408 7088 [JOB_CONTEXT_VALIDATED] job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:33:23,419 message_parser 20408 7088 [JOB_CONTEXT_PROPAGATED] type=AI_EXTRACTION job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711
